Rank (of 2021),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016),Rank Change From 2016
299,Valhalla High,9-12,Grossmont Union High,"2,138",26.7,55.3 %,85.6,335,36
300,PUC Community Charter Mid and PUC Community Charter Early College High,6-12,Los Angeles Unified,777,22.8,80.6 %,85.6,194,106
301,Orchard View,K-12,Twin Hills Union Elementary,226,18.8,8.0 %,85.6,268,33
302,Westmoor High,9-12,Jefferson Union High,"1,669",22.8,38.8 %,85.6,715,413
303,Rio Americano High,9-12,San Juan Unified,"1,598",26.1,20.9 %,85.6,293,10
304,USC Hybrid High,9-12,Los Angeles Unified,466,46.6,83.9 %,85.5,576,272
305,Conservatory of Vocal/Instrumental Arts High,9-12,Oakland Unified,34,11.3,52.9 %,85.5,,(n/a)
306,Los Osos High,9-12,Chaffey Joint Union High,"3,198",27.5,32.6 %,85.4,222,84
307,Eleanor Roosevelt High,9-12,Corona-Norco Unified,"4,079",26.1,41.0 %,85.3,415,108
308,San Dimas High,9-12,Bonita Unified,"1,360",26.1,32.9 %,85.3,524,216
309,Orthopaedic Hospital,9-12,Los Angeles Unified,839,24.6,89.6 %,85.3,396,87
310,Oakmont High,9-12,Roseville Joint Union High,"1,882",22.9,23.8 %,85.1,188,122
311,La Jolla High,9-12,San Diego Unified,"1,581",25.9,26.1 %,85.1,173,138
312,Capistrano Valley High,9-12,Capistrano Unified,"2,241",27,23.1 %,85.1,201,111
313,Temecula Preparatory,K-12,Temecula Valley Unified,"1,062",21.6,20.4 %,85,243,70
314,Temecula Valley High,9-12,Temecula Valley Unified,"2,728",26.4,22.2 %,84.9,471,157
315,Bonita Vista Senior High,9-12,Sweetwater Union High,"2,496",26.2,30.3 %,84.9,343,28
316,Redondo Union High,9-12,Redondo Beach Unified,"2,755",25.9,20.0 %,84.8,324,8
317,Las Lomas High,9-12,Acalanes Union High,"1,528",20.3,8.6 %,84.8,203,114
318,Inspire School of Arts and Sciences,9-12,Chico Unified,444,19.3,25.5 %,84.8,140,178
319,California Military Institute,5-12,Perris Union High,"1,041",28.1,87.1 %,84.8,425,106
320,Martin Luther King Junior High,9-12,Riverside Unified,"3,348",26.1,30.9 %,84.8,265,55
321,Santana High,9-12,Grossmont Union High,"1,491",24.4,47.1 %,84.7,252,69
322,High Technical High North County,9-12,Sbc - High Technical High,484,18.6,30.4 %,84.7,322,
323,American Indian Public High,9-12,Oakland Unified,229,19,85.2 %,84.7,126,197
324,Ruben S. Ayala High,9-12,Chino Valley Unified,"2,629",25.5,22.6 %,84.7,289,35
325,Mountain House High,9-12,Lammersville Joint Unified,823,24.9,16.0 %,84.6,320,5
326,Centennial High,9-12,Corona-Norco Unified,"3,339",26,49.9 %,84.6,414,88
327,El Molino High,9-12,West Sonoma County Union High,585,19.5,32.3 %,84.5,408,81
328,Novato High,9-12,Novato Unified,"1,296",19.9,32.2 %,84.5,160,168
329,William S. Hart High,9-12,William S. Hart Union High,"2,342",25.1,24.6 %,84.4,197,132
330,Classical Academy High,9-12,Escondido Union High,"1,084",28.5,16.3 %,84.3,127,203
331,Six Rivers Charter High,9-12,Northern Humboldt Union High,96,16,45.8 %,84.3,782,451
332,Middle College High,10-12,San Jose Unified,52,26,28.9 %,84.2,20,312
333,Lennox Mathematics Science And Technology Academy,9-12,Lennox,563,21.6,95.0 %,84.1,629,296
334,Prospect High,9-12,Campbell Union High,"1,474",24.1,26.1 %,84,272,62
335,Chester Junior/Senior High,7-12,Plumas Unified,163,14.8,41.7 %,84,372,37
336,Stockdale High,9-12,Kern High,"2,110",29.3,32.6 %,84,267,69
337,KIPP San Francisco College Preparatory,9-12,San Francisco Unified,312,26,82.4 %,83.9,481,144
338,Alliance Patti And Peter Neuwirth Leadership Academy,9-12,Los Angeles Unified,630,18.5,95.4 %,83.9,696,358
339,Arcata High,9-12,Northern Humboldt Union High,855,22.5,31.0 %,83.9,401,62
340,High Technical High Media Arts,9-12,San Diego Unified,400,22.2,52.5 %,83.8,722,382
341,Aptos High,9-12,Pajaro Valley Unified,"1,409",26,31.9 %,83.7,295,46
342,Oak Park Independent,K-12,Oak Park Unified,222,31.7,4.5 %,83.6,299,43
343,Port of Los Angeles High,9-12,Los Angeles Unified,980,21.3,60.2 %,83.6,225,118
344,Sonora High,9-12,Fullerton Joint Union High,"1,882",28,46.5 %,83.6,441,97
345,The O'Farrell Charter,K-12,San Diego Unified,"1,578",20.4,72.4 %,83.6,463,118
346,John Adams Academy,K-12,Loomis Union Elementary,"1,235",22,9.1 %,83.4,158,188
347,Centennial High,9-12,Kern High,"1,992",27.2,24.2 %,83.4,219,128
348,Alliance Marc & Eva Stern Math and Science,9-12,Los Angeles Unified,601,18.7,89.2 %,83.3,479,131
349,Gridley High,9-12,Gridley Unified,617,23.7,51.9 %,83.3,488,139
350,Rosemead High,9-12,El Monte Union High,"1,805",22,85.4 %,83.2,316,34
351,Natomas Charter,K-12,Natomas Unified,"1,638",22.7,22.5 %,83.2,49,302
352,Steele Canyon High,9-12,Grossmont Union High,"2,165",29.2,28.5 %,83.1,642,290
353,King/Drew Medical Magnet High,9-12,Los Angeles Unified,"1,570",25.3,88.7 %,83.1,444,91
354,Carlsbad High,9-12,Carlsbad Unified,"2,459",25.8,17.9 %,82.9,218,136
355,Foothill High,9-12,Shasta Union High,"1,275",23.1,24.0 %,82.8,276,79
356,Vacaville High,9-12,Vacaville Unified,"1,987",22.5,31.1 %,82.8,466,110
357,Westmont High,9-12,Campbell Union High,"1,541",23,20.9 %,82.7,235,122
358,Agoura High,9-12,Las Virgenes Unified,"2,075",25,7.0 %,82.7,257,101
359,Kearny SCT,9-12,San Diego Unified,346,26.6,72.8 %,82.6,191,168
360,Laytonville High,9-12,Laytonville Unified,115,11.5,65.2 %,82.5,859,499
361,School of Engineering & Sciences,7-12,Sacramento City Unified,536,26.8,74.6 %,82.5,99,262
362,Rancho Buena Vista High,9-12,Vista Unified,"2,417",21,47.6 %,82.4,579,217
363,L.A. County High School for the Arts,9-12,Los Angeles County Office Of Education,604,7.7,10.1 %,82.3,264,99
364,Poway High,9-12,Poway Unified,"2,250",26.1,20.8 %,82.3,216,148
365,Burroughs High,9-12,Burbank Unified,"2,615",24.2,26.9 %,82.3,250,115
366,Kearny Digital Media & Design,9-12,San Diego Unified,408,24,72.1 %,82.3,266,100
367,Chaparral High,9-12,Temecula Valley Unified,"3,163",26.3,23.8 %,82.3,249,118
368,La Serna High,9-12,Whittier Union High,"2,838",27.8,44.6 %,82.2,319,49
369,Santa Clara High,9-12,Santa Clara Unified,"1,971",24,41.5 %,82.2,302,67
370,Enterprise High,9-12,Shasta Union High,"1,220",22.1,42.0 %,82.1,455,85
371,Capuchino High,9-12,San Mateo Union High,"1,127",19.4,21.2 %,82.1,515,144
372,Paso Robles High,9-12,Paso Robles Joint Unified,"2,034",23.3,40.5 %,82.1,469,97
373,Casa Grande High,9-12,Petaluma Joint Union High,"1,683",22.7,38.4 %,82,300,73
374,Livermore High,9-12,Livermore Valley Joint Unified,"1,794",22.4,20.4 %,81.9,376,2
375,Summit Public School: Rainier,9-12,East Side Union High,360,18.9,53.9 %,81.9,416,41
376,New Designs Charter,6-12,Los Angeles Unified,838,41.9,89.5 %,81.9,931,555
377,Coast Union High,9-12,Coast Unified,230,15.3,48.7 %,81.8,418,41
378,Woodside High,9-12,Sequoia Union High,"1,781",17.4,41.3 %,81.8,582,204
379,Animo Leadership High,9-12,Lennox,638,22.7,93.6 %,81.8,657,278
380,San Ramon Valley High,9-12,San Ramon Valley Unified,"2,103",22.8,2.0 %,81.7,82,298
381,Morro Bay High,9-12,San Luis Coastal Unified,860,20.9,37.7 %,81.5,545,164
382,Balboa High,9-12,San Francisco Unified,"1,260",18.5,68.7 %,81.5,634,252
383,Alta Loma High,9-12,Chaffey Joint Union High,"2,514",25.1,52.3 %,81.4,375,8
384,Larchmont Charter,K-12,Los Angeles Unified,"1,424",21.5,39.3 %,81.4,460,76
385,Canyon High,9-12,Orange Unified,"2,345",28.2,10.5 %,81.4,182,203
386,Kingsburg High,9-12,Kingsburg Joint Union High,"1,117",21.9,44.9 %,81.4,621,235
387,Los Angeles Center for Enriched Studies,6-12,Los Angeles Unified,"1,648",24.9,54.7 %,81.3,63,324
388,Marysville Charter Academy for the Arts,7-12,Marysville Joint Unified,376,18.8,44.4 %,81.3,241,147
389,Alameda Community Learning Center,6-12,Alameda Unified,379,23.6,11.1 %,81.3,313,76
390,Brea-Olinda High,9-12,Brea-Olinda Unified,"1,872",27.1,22.0 %,81.3,169,221
391,Cobalt Institute of Math and Science Academy,7-12,Victor Valley Union High,864,27,72.9 %,81.3,681,290
392,Liberty Ranch High,9-12,Galt Joint Union High,"1,176",23.5,47.6 %,81.2,543,151
393,Alliance Margaret M. Bloomfield Technology Academy High,9-12,Los Angeles Unified,280,20,93.6 %,81.2,,(n/a)
394,Alhambra High,9-12,Alhambra Unified,"2,642",26.4,72.1 %,81.1,504,110
395,North Tahoe High,9-12,Tahoe-Truckee Unified,362,16.4,46.1 %,80.8,391,4
396,Nevada Union High,9-12,Nevada Joint Union High,"1,653",20.9,35.3 %,80.8,370,26
397,Roseville High,9-12,Roseville Joint Union High,"1,961",23,32.2 %,80.8,353,44
398,Bret Harte Union High,9-12,Bret Harte Union High,674,18.7,55.8 %,80.8,404,6
399,Kearny Eng Innov & Design,9-12,San Diego Unified,320,24.6,74.7 %,80.7,653,254
400,Monrovia High,9-12,Monrovia Unified,"1,781",24.3,49.0 %,80.7,533,133
401,Palm Desert High,9-12,Desert Sands Unified,"1,948",25.6,40.3 %,80.6,259,142
402,Liberty High,9-12,Golden Valley Unified,589,19.6,28.9 %,80.5,483,81
403,James Logan High,9-12,New Haven Unified,"3,793",25.8,41.2 %,80.5,457,54
404,Etiwanda High,9-12,Chaffey Joint Union High,"3,498",26.5,41.7 %,80.5,393,11
405,Murrieta Valley High,9-12,Murrieta Valley Unified,"2,486",26.7,19.2 %,80.5,348,57
406,Garden Grove High,9-12,Garden Grove Unified,"2,454",24.2,60.5 %,80.5,449,43
407,Burbank High,9-12,Burbank Unified,"2,542",24.4,34.4 %,80.4,405,2
408,Edgewood High,9-12,West Covina Unified,864,24.6,64.2 %,80.4,318,90
409,Granite Hills High,9-12,Grossmont Union High,"2,345",25.4,57.0 %,80.3,451,42
410,Arroyo High,9-12,San Lorenzo Unified,"1,839",22.7,50.2 %,80.2,347,63
411,Sequoia High,9-12,Sequoia Union High,"2,143",19.8,41.7 %,80.2,593,182
412,Futures High,7-12,Twin Rivers Unified,424,21.2,82.3 %,80.1,509,97
413,Bolsa Grande High,9-12,Garden Grove Unified,"1,995",24.3,69.0 %,80,402,11
414,Antelope High,9-12,Roseville Joint Union High,"1,832",24.4,45.4 %,80,346,68
415,Union Mine High,9-12,El Dorado Union High,"1,047",22.7,28.1 %,79.9,323,92
416,North Hollywood Senior High,9-12,Los Angeles Unified,"2,610",26.6,72.4 %,79.9,620,204
417,Bonsall High,9-12,Bonsall Unified,137,13.7,46.7 %,79.8,,(n/a)
418,Wonderful College Prep Academy,6-12,Kern County Office Of Education,764,21.2,87.7 %,79.7,428,10
419,Santa Ynez Valley Union High,9-12,Santa Ynez Valley Union High,966,19.3,22.8 %,79.6,215,204
420,Alliance Ouchi-O'Donovan 6-12 Complex,6-12,Los Angeles Unified,"1,003",21.3,95.1 %,79.6,864,444
421,Norco High,9-12,Corona-Norco Unified,"2,222",24.1,38.6 %,79.6,560,139
422,Culver City High,9-12,Culver City Unified,"2,082",24.7,35.8 %,79.3,363,59
423,STEM Academy at Bernstein High,9-12,Los Angeles Unified,584,20.8,93.7 %,79.3,557,134
424,Vista Murrieta High,9-12,Murrieta Valley Unified,"3,559",28.4,27.1 %,79.2,312,112
425,Mission Hills High,9-12,San Marcos Unified,"2,531",25.8,40.7 %,79.2,429,4
426,Otay Ranch Senior High,9-12,Sweetwater Union High,"2,581",26.3,33.4 %,79,357,69
427,Chico High,9-12,Chico Unified,"1,797",23.3,33.3 %,79,377,50
428,Everest Public High,9-12,Sequoia Union High,376,22.1,59.6 %,78.9,,(n/a)
429,Serra High,9-12,San Diego Unified,"1,762",24.4,58.3 %,78.9,536,107
430,Dozier-Libbey Medical High,9-12,Antioch Unified,685,26.3,52.4 %,78.9,367,63
431,Yucaipa High,9-12,Yucaipa-Calimesa Joint Unified,"2,775",24.3,44.9 %,78.8,613,182
432,North High,9-12,Torrance Unified,"1,901",24,45.3 %,78.8,311,121
433,Independence High,9-12,East Side Union High,"2,968",23.3,52.1 %,78.6,575,142
434,Shasta High,9-12,Shasta Union High,"1,454",22.3,31.4 %,78.4,247,187
435,Ripon High,9-12,Ripon Unified,870,19.7,30.1 %,78.3,487,52
436,Adolfo Camarillo High,9-12,Oxnard Union High,"2,418",26.5,24.8 %,78.3,202,234
437,Learning Post High (Alternative),7-12,William S. Hart Union High,170,24.2,6.5 %,78.2,196,241
438,Lodi High,9-12,Lodi Unified,"2,057",22.6,47.7 %,78.2,675,237
439,Van Nuys Senior High,9-12,Los Angeles Unified,"2,594",23.5,77.2 %,78.1,516,77
440,Clovis East High,9-12,Clovis Unified,"2,203",22.7,54.4 %,78.1,355,85
441,Pescadero High,9-12,La Honda-Pescadero Unified,96,12,62.5 %,78.1,603,162
442,James C. Enochs High,9-12,Modesto City High,"2,407",26.4,43.0 %,78.1,270,172
443,Redlands East Valley High,9-12,Redlands Unified,"2,158",25.6,50.3 %,78,340,103
444,Reedley High,9-12,Kings Canyon Joint Unified,"1,737",25.9,79.2 %,78,686,242
445,Chula Vista Learning Community Charter,K-12,Chula Vista Elementary,"1,444",23.2,64.5 %,78,526,81
446,Calipatria High,9-12,Calipatria Unified,370,16.8,77.3 %,78,519,73
447,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,6-12,Los Angeles Unified,980,22.7,96.8 %,77.9,394,53
448,Center High,9-12,Center Joint Unified,"1,298",22.7,57.6 %,77.9,493,45
449,Alhambra Senior High,9-12,Martinez Unified,"1,179",21,28.1 %,77.8,358,91
450,Academy Of Arts And Sciences: Del Mar,K-12,Mountain Empire Unified,214,42.8,28.5 %,77.8,771,321
450,Hallmark Charter,K-12,Sanger Unified,368,19.3,45.9 %,77.8,495,45
452,Mira Loma High,9-12,San Juan Unified,"1,681",25.8,46.4 %,77.7,373,79
453,Impact Academy of Arts & Technology,9-12,Hayward Unified,462,24.3,59.7 %,77.7,542,89
454,Eagle Rock High,7-12,Los Angeles Unified,"2,377",22.8,57.3 %,77.6,399,55
455,PUC Lakeview Charter High,9-12,Los Angeles Unified,416,20.8,74.3 %,77.5,608,153
456,Da Vinci Design,9-12,Wiseburn Unified,542,18,40.4 %,77.5,,(n/a)
457,El Dorado High,9-12,El Dorado Union High,"1,176",21.7,33.2 %,77.3,294,163
458,Vanden High,9-12,Travis Unified,"1,655",23.6,24.5 %,77.3,309,149
459,Paradise Senior High,9-12,Paradise Unified,"1,083",20.4,52.5 %,77.2,592,133
460,San Mateo High,9-12,San Mateo Union High,"1,615",20.7,27.9 %,77.1,352,108
461,La Quinta High,9-12,Desert Sands Unified,"2,740",27.1,49.7 %,77.1,336,125
462,Yreka High,9-12,Yreka Union High,615,18.6,46.7 %,77.1,610,148
463,Pacific Law Academy,9-12,Stockton Unified,210,26.2,69.1 %,77.1,588,125
464,John F. Kennedy High,9-12,Fremont Unified,"1,401",21.8,43.0 %,77.1,518,54
465,Tahoe Truckee High,9-12,Tahoe-Truckee Unified,697,17.8,31.3 %,77,397,68
466,Golden Sierra Junior Senior High,7-12,Black Oak Mine Unified,519,21.6,43.6 %,77,663,197
467,Snowline Virtual,K-12,Snowline Joint Unified,58,14.5,43.1 %,76.9,,(n/a)
468,Elk Grove High,9-12,Elk Grove Unified,"1,743",21.2,36.6 %,76.9,417,51
469,Amador High,9-12,Amador County Unified,645,24.8,39.5 %,76.7,368,101
470,Millennium High Alternative,9-12,Piedmont City Unified,70,14,5.7 %,76.6,812,342
471,Simi Valley High,9-12,Simi Valley Unified,"2,182",25.9,22.6 %,76.6,626,155
472,Waterford High,9-12,Waterford Unified,576,21.3,65.8 %,76.5,510,38
473,Taft Charter High,9-12,Los Angeles Unified,"2,441",27.7,61.1 %,76.4,567,94
474,Liberty High,9-12,Kern High,"2,043",31.4,20.1 %,76.3,442,32
475,Will C. Wood High,9-12,Vacaville Unified,"1,712",22.5,37.9 %,76.3,445,30
476,Quincy Junior/Senior High,7-12,Plumas Unified,316,16.6,22.2 %,76.2,369,107
477,Imperial High,9-12,Imperial Unified,"1,172",24.4,44.9 %,76.2,517,40
478,Burroughs High,9-12,Sierra Sands Unified,"1,403",23,37.4 %,76.2,447,31
479,Fullerton Union High,9-12,Fullerton Joint Union High,"2,110",28.5,57.4 %,76.1,554,75
480,Terra Nova High,9-12,Jefferson Union High,"1,012",22,19.4 %,76.1,439,41
481,Nordhoff High,9-12,Ojai Unified,758,23.6,35.9 %,76.1,452,29
482,Santa Rosa Academy,K-12,Menifee Union Elementary,"1,544",22.3,22.5 %,76,503,21
483,Murrieta Mesa High,9-12,Murrieta Valley Unified,"2,219",26.7,30.6 %,76,400,83
484,Camptonville Academy,K-12,Camptonville Elementary,462,24.3,57.4 %,75.8,585,101
485,Liberty High,9-12,Liberty Union High,"2,499",21.9,32.8 %,75.8,431,54
486,San Marin High,9-12,Novato Unified,"1,076",19.9,20.4 %,75.8,303,183
487,Pioneer High,9-12,San Jose Unified,"1,574",23.1,28.9 %,75.8,596,109
488,Argonaut High,9-12,Amador County Unified,498,23.7,37.4 %,75.7,627,139
489,Burney Junior-Senior High,7-12,Fall River Joint Unified,216,14.4,60.2 %,75.7,909,420
490,Sky Mountain Charter,K-12,Lucerne Valley Unified,"1,646",24.5,25.8 %,75.6,494,4
491,Venture (Alternative),K-12,San Ramon Valley Unified,182,15.1,6.0 %,75.6,338,153
492,Carpinteria Senior High,9-12,Carpinteria Unified,648,19.6,59.6 %,75.6,538,46
493,Anderson High,9-12,Anderson Union High,611,21.8,59.6 %,75.5,1034,541
494,Newport Harbor High,9-12,Newport-Mesa Unified,"2,349",27.3,34.8 %,75.5,307,187
495,Venice Senior High,9-12,Los Angeles Unified,"2,005",22.7,68.9 %,75.5,498,3
496,El Camino Real Charter High,9-12,Los Angeles Unified,"3,855",29.8,20.6 %,75.4,422,74
497,Lincoln High,9-12,Western Placer Unified,"1,731",25,31.0 %,75.4,354,143
498,Frontier High,9-12,Kern High,"2,320",28.2,22.9 %,75.4,461,37
499,Literacy First Charter,K-12,San Diego County Office Of Education,"1,639",21.5,43.4 %,75.4,385,114
500,Fairfax Senior High,9-12,Los Angeles Unified,"2,047",25.9,76.5 %,75.3,609,109
501,Fremont High,9-12,Fremont Union High,"1,965",22.5,35.4 %,75.3,420,81
502,California Connections Academy @ North Bay,K-12,Middletown Unified,109,36.3,42.2 %,75.2,,(n/a)
503,Edison High,9-12,Fresno Unified,"2,553",27.7,76.0 %,75.2,564,61
504,Ilead Hybrid,K-12,Acton-Agua Dulce Unified,"1,861",20.4,26.3 %,75.1,,(n/a)
505,El Diamante High,9-12,Visalia Unified,"1,958",25.1,53.5 %,75,423,82
506,Grover Cleveland Charter High,9-12,Los Angeles Unified,"3,202",26.9,64.7 %,75,480,26
507,Middle College High,9-12,Los Angeles Unified,387,32.2,72.1 %,75,389,118
508,Artesia High,9-12,ABC Unified,"1,549",23.4,75.7 %,74.9,584,76
509,Animo Jackie Robinson High,9-12,Los Angeles Unified,612,21.1,97.7 %,74.8,647,138
510,Aspire Ollin University Preparatory Academy,6-12,Los Angeles County Office Of Education,578,25.1,92.7 %,74.8,,(n/a)
511,Mt. Shasta High,9-12,Siskiyou Union High,343,20.1,34.7 %,74.7,388,123
512,Colusa High,9-12,Colusa Unified,371,18.5,47.2 %,74.5,614,102
513,Horizons School: Independent Study,K-12,Mt. Diablo Unified,145,12,15.9 %,74.4,653,140
514,Sierra High,9-12,Sierra Unified,458,20.8,34.7 %,74.4,378,136
515,Alliance Morgan McKinzie High,9-12,Los Angeles Unified,312,16.4,96.8 %,74.4,547,32
516,Calaveras High,9-12,Calaveras Unified,947,21.5,58.4 %,74.3,558,42
517,Benjamin Franklin Senior High,6-12,Los Angeles Unified,"1,415",26.6,85.7 %,74.3,720,203
518,Aspire Langston Hughes Academy,6-12,Stockton Unified,714,23,76.9 %,74.2,763,245
519,Math and Science College Preparatory,9-12,Los Angeles Unified,396,16.5,88.1 %,74.2,525,6
520,Delano High,9-12,Delano Joint Union High,"1,589",24,87.8 %,74.1,589,69
521,Tulare Union High,9-12,Tulare Joint Union High,"1,740",22,70.6 %,74.1,651,130
522,Gahr (Richard) High,9-12,ABC Unified,"1,981",24.1,52.7 %,74.1,520,2
523,El Camino High,9-12,Oceanside Unified,"3,053",26.3,47.2 %,74,459,64
524,Montclair High,9-12,Chaffey Joint Union High,"2,989",26.2,88.3 %,73.9,769,245
525,Cypress Charter High,9-12,Live Oak Elementary,156,15.6,14.7 %,73.8,308,217
526,High Technical High Chula Vista,9-12,Sbc - High Technical High,639,20.6,50.7 %,73.7,772,246
527,Sheldon High,9-12,Elk Grove Unified,"2,322",20.7,58.4 %,73.7,433,94
528,Animo Pat Brown,9-12,Los Angeles Unified,617,20.5,98.1 %,73.7,514,14
529,John F. Kennedy High,9-12,Sacramento City Unified,"2,221",24.9,61.2 %,73.7,740,211
530,Tracy High,9-12,Tracy Joint Unified,"2,121",25.5,32.0 %,73.6,563,33
531,Arroyo High,9-12,El Monte Union High,"2,228",23.2,86.2 %,73.5,472,59
532,Royal High,9-12,Simi Valley Unified,"1,988",24.8,29.8 %,73.3,430,102
533,PUC Early College Academy for Leaders and Scholars (ECALS),9-12,Los Angeles Unified,455,18.9,74.1 %,73.3,546,13
534,University Senior High,9-12,Los Angeles Unified,"1,671",23.2,71.0 %,73.2,599,65
535,Chatsworth Charter High,9-12,Los Angeles Unified,"2,068",23.7,65.2 %,73.1,816,281
536,Serrano High,9-12,Snowline Joint Unified,"2,231",21.8,57.8 %,73.1,470,66
537,Sierra Pacific High,9-12,Hanford Joint Union High,761,24.5,55.6 %,73.1,733,196
538,Eureka Senior High,9-12,Eureka City Schools,"1,093",20.6,47.9 %,73.1,667,129
539,Public Safety Academy,5-12,Fairfield-Suisun Unified,621,23,51.5 %,73,212,327
540,Grossmont High,9-12,Grossmont Union High,"2,296",23.9,59.9 %,73,561,21
541,Monte Vista High,9-12,Grossmont Union High,"1,702",21.8,75.1 %,73,622,81
542,Durham High,9-12,Durham Unified,287,17.9,32.8 %,73,446,96
543,Alliance Collins Family College-Ready High,9-12,Los Angeles Unified,601,20,92.0 %,72.9,896,353
544,Alliance Renee and Meyer Luskin Academy High,9-12,Los Angeles Unified,554,18.4,94.0 %,72.8,842,298
545,Tomales High,9-12,Shoreline Unified,156,12,48.1 %,72.8,631,86
546,Villa Park High,9-12,Orange Unified,"2,466",27.4,27.7 %,72.7,436,110
547,John C. Kimball High,9-12,Tracy Joint Unified,"1,622",24.9,30.5 %,72.7,468,79
548,Shasta Charter Academy,9-12,Shasta Union High,242,20.1,33.1 %,72.6,339,209
549,Point Loma High,9-12,San Diego Unified,"1,915",24.2,40.7 %,72.5,464,85
550,Vaughn Next Century Learning Center,K-12,Los Angeles Unified,"2,831",21.9,97.9 %,72.4,712,162
551,Los Angeles Leadership Academy,6-12,Los Angeles Unified,538,17.3,87.7 %,72.4,987,436
552,Lemoore Middle College High,9-12,Lemoore Union High,244,18.7,21.7 %,72.4,432,120
553,Sanger High,9-12,Sanger Unified,"2,852",23.5,75.4 %,72.4,878,325
554,American Canyon High,9-12,Napa Valley Unified,"1,582",21.3,36.4 %,72.4,600,46
555,New Day Academy,K-12,Ravendale-Termo Elementary,335,30.4,55.2 %,72.3,366,189
556,Harbor High,9-12,Santa Cruz City High,954,21.6,53.3 %,72.3,606,50
557,Del Mar High,9-12,Campbell Union High,"1,167",22,40.5 %,72.2,768,211
558,Robert F. Kennedy High,9-12,Delano Joint Union High,"1,122",21.5,92.2 %,72,541,17
559,Berkeley High,9-12,Berkeley Unified,"3,113",18.4,27.7 %,71.9,288,271
560,Winters High,9-12,Winters Joint Unified,435,20.7,55.6 %,71.9,785,225
561,Rancho Alamitos High,9-12,Garden Grove Unified,"1,793",22.9,67.8 %,71.9,555,6
562,Hollywood Senior High,9-12,Los Angeles Unified,"1,479",23.8,82.9 %,71.9,709,147
563,Selma High,9-12,Selma Unified,"1,784",24.1,74.6 %,71.8,670,107
564,Environmental Charter High,9-12,Lawndale Elementary,515,18.3,80.4 %,71.7,664,100
565,Desert Junior-Senior High,7-12,Muroc Joint Unified,579,20.6,12.6 %,71.6,551,14
566,Tustin High,9-12,Tustin Unified,"2,287",25.6,68.6 %,71.6,387,179
567,Anderson New Technology High,9-12,Anderson Union High,213,19.3,52.1 %,71.6,226,341
568,Angelo Rodriguez High,9-12,Fairfield-Suisun Unified,"1,820",24.9,32.3 %,71.6,386,182
569,School For Entrepreneurship And Technology,9-12,San Diego Unified,269,26.9,40.5 %,71.6,727,158
570,Alliance Leichtman-Levine Family Foundation Env Sci High,9-12,Los Angeles Unified,528,20.3,87.9 %,71.5,491,79
571,Da Vinci Communications High,9-12,Wiseburn Unified,205,17,42.0 %,71.5,,(n/a)
572,Diamond Ranch High,9-12,Pomona Unified,"1,694",23.8,54.3 %,71.4,529,43
573,Santa Cruz High,9-12,Santa Cruz City High,"1,010",25.8,28.5 %,71.4,349,224
574,Escalon High,9-12,Escalon Unified,839,22,43.0 %,71.3,633,59
575,La Habra High,9-12,Fullerton Joint Union High,"2,212",29.8,47.4 %,71.3,652,77
576,Silver Valley High,9-12,Silver Valley Unified,378,14.5,45.0 %,71.1,660,84
577,Christopher High,9-12,Gilroy Unified,"1,833",23.5,41.0 %,71.1,725,148
578,Golden Valley High,9-12,William S. Hart Union High,"2,129",23.9,38.1 %,71,473,105
579,Encore High School for the Arts - Riverside,7-12,Riverside Unified,413,27.5,32.2 %,70.8,,(n/a)
580,Sierra High,9-12,Manteca Unified,"1,358",21.2,41.4 %,70.8,805,225
581,Soquel High,9-12,Santa Cruz City High,"1,093",26.6,32.9 %,70.8,508,73
582,Upland High,9-12,Upland Unified,"3,391",23.7,50.3 %,70.8,478,104
583,Hector G. Godinez,9-12,Santa Ana Unified,"2,622",25.9,95.5 %,70.8,790,207
584,Seaside High,9-12,Monterey Peninsula Unified,"1,059",19.9,69.5 %,70.7,784,200
585,Redwood High,9-12,Visalia Unified,"2,151",26.2,44.3 %,70.7,453,132
586,Moorpark High,9-12,Moorpark Unified,"2,004",23.8,24.7 %,70.7,314,272
587,Burbank Unified Independent Learning Academy (BUILA),7-12,Burbank Unified,25,,12.0 %,70.7,,(n/a)
588,Cesar E. Chavez High,9-12,Delano Joint Union High,"1,345",22.4,84.2 %,70.6,437,151
589,Alliance Alice M. Baxter College-Ready High,9-12,Los Angeles Unified,220,24.4,81.4 %,70.5,,(n/a)
590,Valley Center High,9-12,Valley Center-Pauma Unified,"1,183",22.7,43.0 %,70.5,552,38
591,James A. Garfield Senior High,9-12,Los Angeles Unified,"2,525",25.2,88.2 %,70.4,746,155
592,Monterey Trail High,9-12,Elk Grove Unified,"2,302",22.3,69.8 %,70.4,618,26
593,John H. Pitman High,9-12,Turlock Unified,"2,185",24,52.0 %,70.3,521,72
594,Ontario High,9-12,Chaffey Joint Union High,"2,463",24.1,87.1 %,70.3,875,281
595,Bishop Union High,9-12,Bishop Unified,598,23,46.2 %,70.3,687,92
596,South Hills High,9-12,Covina-Valley Unified,"1,702",24.3,59.1 %,70.3,572,24
597,Bell Senior High,9-12,Los Angeles Unified,"3,049",24.7,89.4 %,70.3,1131,534
