Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
1051,Cram Elementary,K-5,Redlands Unified,607,25.2,38.1 %,81.8,704
1052,Altamont Elementary,K-8,Lammersville Joint Unified,679,26.1,10.8 %,81.7,
1053,W. A. Kendrick Elementary,K-5,Greenfield Union,806,23.7,89.3 %,81.7,1286
1054,Freedom Elementary,K-6,Clovis Unified,712,27.3,33.3 %,81.7,1033
1055,Morello Park Elementary,K-5,Martinez Unified,526,23.9,16.0 %,81.7,1291
1056,Temecula Luiseno Elementary,K-5,Temecula Valley Unified,926,25.7,16.5 %,81.6,710
1057,Gardenhill Elementary,K-5,Norwalk-La Mirada Unified,758,28,44.6 %,81.6,709
1058,Rod Kelley Elementary,K-5,Gilroy Unified,771,28.5,61.5 %,81.6,1528
1059,Calavera Hills Elementary,K-5,Carlsbad Unified,483,26.8,39.8 %,81.5,1430
1060,Cragmont Elementary,K-5,Berkeley Unified,419,19,37.5 %,81.5,856
1061,Lexington Elementary,K-5,Los Gatos Union Elementary,163,20.3,3.7 %,81.5,502
1062,Tom Maloney Elementary,K-6,Fremont Unified,591,25.6,29.3 %,81.5,1386
1063,Pleasant Grove Elementary,K-6,Elk Grove Unified,480,20.8,24.8 %,81.5,1188
1064,New Traditions Elementary,K-5,San Francisco Unified,260,21.6,34.2 %,81.4,774
1065,Hanna Ranch Elementary,K-5,West Contra Costa Unified,469,23.4,28.4 %,81.4,978
1066,Stanford Elementary,K-6,Garden Grove Unified,556,26.4,69.6 %,81.4,1464
1067,Chandler Learning Academy,K-5,Los Angeles Unified,463,23.1,55.3 %,81.4,1359
1068,Ledesma (Rita) Elementary,K-6,Oak Grove Elementary,482,28.3,25.7 %,81.3,898
1069,Sebastian Questa Elementary,K-8,Lammersville Joint Unified,763,24.6,6.3 %,81.3,1200
1070,Lewis Elementary,K-5,Downey Unified,811,26.1,72.8 %,81.3,1308
1071,Charles G. Emery Elementary,K-8,Buena Park Elementary,696,26.7,41.2 %,81.3,1113
1072,Escalona Elementary,K-5,Norwalk-La Mirada Unified,590,26.8,43.1 %,81.3,1493
1073,Twin Creeks Elementary,K-5,San Ramon Valley Unified,568,23.6,5.1 %,81.3,934
1074,Coolidge Elementary,K-5,San Gabriel Unified,391,23,42.5 %,81.3,1070
1075,Killybrooke Elementary,K-6,Newport-Mesa Unified,419,24.6,68.5 %,81.3,1354
1076,Sulphur Springs Community Elementary,K-6,Sulphur Springs Union,642,26.7,31.9 %,81.3,1393
1077,Orion Alternative,K-5,Redwood City Elementary,211,26.3,26.1 %,81.2,1394
1078,Wilson Elementary,K-6,Wilmar Union Elementary,235,21.3,18.3 %,81.2,1032
1079,Carpinteria Family,K-5,Carpinteria Unified,73,24.3,27.4 %,81.2,
1080,John F. Kennedy Elementary,K-6,Riverside Unified,"1,096",26.7,34.8 %,81.2,901
1081,Rio Del Oro Elementary,K-5,Plumas Lake Elementary,453,21.5,34.7 %,81.1,1107
1082,Hope Elementary,K-6,Hope Elementary,316,18.5,31.3 %,81.1,739
1083,Ponderosa Elementary,K-5,Santa Clara Unified,570,25.9,29.3 %,81.1,1094
1084,Bonsall Elementary,K-5,Bonsall Unified,979,24.4,33.7 %,81,
1085,Breen Elementary,K-6,Rocklin Unified,550,27.5,13.5 %,81,1186
1086,Mather Heights Elementary,K-5,Folsom-Cordova Unified,445,23.4,24.7 %,81,1147
1087,Garden Park Elementary,K-6,Garden Grove Unified,258,25.8,25.2 %,81,1336
1088,Hardy Elementary,K-5,San Diego Unified,399,26.6,54.6 %,81,1064
1089,Museum,K-8,San Diego Unified,226,20.5,23.5 %,81,1325
1090,Monterey Road Elementary,K-5,Atascadero Unified,392,26.1,32.1 %,80.9,1818
1091,Paradise Valley Engineering Academy,K-5,Morgan Hill Unified,630,24.2,26.8 %,80.9,783
1092,Mary Deterding Elementary,K-6,San Juan Unified,609,30.4,39.2 %,80.9,921
1093,Hickman Elementary,K-5,Hickman Community Charter,304,23.3,45.1 %,80.9,1192
1094,Atherwood Elementary,K-6,Simi Valley Unified,542,27.1,14.9 %,80.9,844
1095,Dunham Charter,K-6,Dunham Elementary,185,23.1,26.0 %,80.8,1740
1096,Cesar E. Chavez Elementary,K-6,Bakersfield City,620,20.6,41.5 %,80.8,1405
1097,Loomis Basin Charter,K-8,Loomis Union Elementary,407,20.3,1.0 %,80.8,775
1098,Equitas Academy Charter,K-5,Los Angeles Unified,450,26.4,95.1 %,80.8,1194
1099,Franklin Elementary,K-6,Bakersfield City,504,22.9,67.9 %,80.7,1219
1100,Meadows Elementary,K-5,Millbrae Elementary,414,27.6,12.1 %,80.7,534
1101,Stanton Elementary,K-5,Castro Valley Unified,479,25.2,30.3 %,80.7,1203
1102,Hilltop Drive Elementary,K-6,Chula Vista Elementary,563,24.4,70.3 %,80.7,1116
1103,Thomas Jefferson Elementary,K-5,Roseville City Elementary,483,24.1,20.3 %,80.7,635
1104,Fairwood Elementary,K-5,Sunnyvale,411,22.8,24.6 %,80.7,792
1105,Dr. Bernice Jameson Todd Academy,K-8,Corona-Norco Unified,850,28.3,27.4 %,80.7,905
1106,Serrania Avenue Charter For Enriched Studies,K-5,Los Angeles Unified,657,25.2,31.4 %,80.6,954
1107,Park Dale Lane Elementary,K-6,Encinitas Union Elementary,503,22.8,18.5 %,80.6,1328
1108,Eagle Rock Elementary,K-6,Los Angeles Unified,782,23,52.8 %,80.6,1167
1109,Paloma Elementary,K-5,Temecula Valley Unified,620,23.8,23.4 %,80.6,1015
1110,Grant Elementary,K-6,Petaluma City Elementary,402,25.1,11.0 %,80.5,1253
1111,Cobb Mountain Elementary,K-6,Middletown Unified,150,21.4,84.0 %,80.4,1654
1112,William Burnett Elementary,K-6,Milpitas Unified,606,23.3,38.3 %,80.4,1213
1113,Nixon (Patricia) Elementary,K-6,ABC Unified,788,26.2,33.5 %,80.4,941
1114,Joseph Weller Elementary,K-6,Milpitas Unified,455,23.9,45.1 %,80.4,1256
1115,Helen Hunt Jackson Elementary,K-5,Temecula Valley Unified,405,25.3,13.6 %,80.4,1102
1116,Condit Elementary,K-6,Claremont Unified,674,25.9,26.1 %,80.3,1169
1117,Majestic Way Elementary,K-5,Berryessa Union Elementary,525,22.8,31.1 %,80.3,935
1118,Manor Elementary,K-5,Ross Valley Elementary,389,20.4,18.0 %,80.3,1079
1119,Poinsettia Elementary,K-5,Ventura Unified,507,22,27.2 %,80.3,1133
1120,Thomas Edison Elementary,K-5,Burbank Unified,551,26.2,20.0 %,80.3,1068
1121,Capistrano Avenue Elementary,K-5,Los Angeles Unified,423,22.2,72.8 %,80.3,1299
1122,Manuel De Vargas Elementary,K-5,Cupertino Union,591,22.7,18.4 %,80.2,1119
1123,Dixie Canyon Community Charter,K-5,Los Angeles Unified,731,26.1,24.2 %,80.2,696
1124,Madison Elementary,K-5,Long Beach Unified,453,25.1,47.2 %,80.2,1582
1125,Mountain View Elementary,K-6,Clovis Unified,730,27,53.8 %,80.2,1022
1126,University Park Elementary,K-6,Irvine Unified,548,27.4,25.9 %,80.1,1044
1127,Veterans Elementary,K-6,Norris Elementary,"1,045",25.4,6.5 %,80.1,1157
1128,Franklin Elementary,K-6,Elk Grove Unified,769,23.3,45.8 %,80.1,1206
1129,Van Gogh Charter,K-5,Los Angeles Unified,513,25.6,32.9 %,80.1,708
1130,Golden Oak Community,K-6,Sulphur Springs Union,564,28.2,23.6 %,80.1,808
1131,Crestview Elementary,K-6,Lompoc Unified,577,22.1,27.6 %,80,685
1132,Woodlake Elementary Community Charter,K-5,Los Angeles Unified,511,23.2,31.3 %,80,1849
1133,Helen Carr Castello Elementary,K-6,Elk Grove Unified,943,22.4,31.7 %,80,1191
1134,Cox Elementary,K-6,Clovis Unified,599,27.2,53.4 %,80,1509
1135,Mayflower Elementary,K-5,Monrovia Unified,540,23.4,48.3 %,79.9,970
1136,Dahlia Heights Elementary,K-6,Los Angeles Unified,374,23.3,38.0 %,79.9,1209
1137,PUC Milagro Charter,K-5,Los Angeles Unified,287,23.9,90.2 %,79.9,703
1138,Superior Street Elementary,K-5,Los Angeles Unified,553,25.1,48.6 %,79.9,1088
1139,Richland Elementary,K-5,San Marcos Unified,805,26.8,36.3 %,79.9,1103
1140,Rancho Elementary,K-5,Temecula Valley Unified,525,26.2,22.5 %,79.9,929
1141,Shadow Hills Elementary,K-5,Alpine Union Elementary,316,22.5,34.5 %,79.9,2262
1142,Pearl Zanker Elementary,K-6,Milpitas Unified,675,25,24.7 %,79.8,1090
1143,John Muir Elementary,K-5,San Bruno Park Elementary,344,31.2,20.1 %,79.7,1460
1144,Sunnyside Elementary,K-6,Chula Vista Elementary,454,20.6,36.8 %,79.7,894
1145,Condor Elementary,K-6,Morongo Unified,555,25.2,49.9 %,79.7,1195
1146,Green Oaks Fundamental Elementary,K-6,San Juan Unified,504,31.5,16.7 %,79.7,556
1147,Natomas Charter,K-12,Natomas Unified,"1,638",22.7,22.5 %,79.7,1129
1148,Mayall Street Elementary,K-5,Los Angeles Unified,479,21.7,69.5 %,79.6,2127
1149,Rosa Parks Environmental Science Magnet,K-5,Berkeley Unified,463,19.2,30.2 %,79.6,1142
1150,H. Clarke Powers Elementary,K-8,Loomis Union Elementary,479,23.9,23.0 %,79.6,910
1151,Potrero Heights Elementary,K-5,Montebello Unified,429,26.8,68.8 %,79.5,1714
1152,Roy Herburger Elementary,K-6,Elk Grove Unified,997,23.7,62.6 %,79.5,1185
1153,Twin Oaks Elementary,K-6,Rocklin Unified,441,23.2,17.5 %,79.4,1036
1154,Alta Murrieta Elementary,K-5,Murrieta Valley Unified,797,27.4,37.1 %,79.4,1184
1155,Anthony Spangler Elementary,K-6,Milpitas Unified,575,23,32.9 %,79.3,1428
1156,Valley View Community Elementary,K-6,Sulphur Springs Union,538,21.5,65.8 %,79.3,1342
1157,Mountain View Montessori Charter,K-6,Victor Elementary,179,22.3,60.3 %,79.3,1427
1158,Toler Elementary,K-5,San Diego Unified,239,23.9,57.3 %,79.3,1436
1159,Victoria Groves Elementary,K-6,Alta Loma Elementary,543,25.8,28.9 %,79.3,1059
1160,Old Adobe Elementary Charter,K-6,Old Adobe Union,292,24.3,30.1 %,79.2,1240
1161,Lisa J. Mails Elementary,K-5,Murrieta Valley Unified,943,27.7,25.9 %,79.2,1326
1162,David W. Long Elementary,K-5,Etiwanda Elementary,830,23,26.4 %,79.2,1074
1163,Del Dayo Elementary,K-6,San Juan Unified,587,29.3,13.0 %,79.2,1097
1164,Sunridge Charter,K-8,Twin Hills Union Elementary,278,25.2,17.3 %,79.1,147
1165,Mariemont Elementary,K-5,San Juan Unified,602,27.3,23.1 %,79.1,1410
1166,Stanley G. Oswalt Academy,K-8,Rowland Unified,"1,092",26.6,36.0 %,79.1,1017
1167,Orchard View,K-12,Twin Hills Union Elementary,226,18.8,8.0 %,79,1382
1168,Blossom Valley Elementary,K-5,Cajon Valley Union,548,23.8,30.8 %,78.9,1109
1169,Jefferson Elementary,K-5,Carlsbad Unified,487,25.6,50.9 %,78.9,1473
1170,Novato Charter,K-8,Novato Unified,268,26.8,3.0 %,78.9,625
1171,Ethel M. Evans Elementary,K-6,Garden Grove Unified,545,27.2,68.8 %,78.9,1794
1172,Smiley Elementary,K-5,Redlands Unified,640,26.6,46.3 %,78.9,1099
1173,Tuscany Hills Elementary,K-5,Lake Elsinore Unified,764,23.1,37.4 %,78.8,907
1174,Rancho San Diego Elementary,K-5,Cajon Valley Union,593,24.7,39.0 %,78.8,784
1175,J. Marion Roynon Elementary,K-5,Bonita Unified,753,25.9,58.6 %,78.8,1400
1176,Killian Elementary,K-6,Rowland Unified,631,25.2,54.7 %,78.8,1262
1177,Hawthorne Elementary,K-6,San Luis Coastal Unified,335,23.9,57.6 %,78.7,1272
1178,Raymond Case Elementary,K-6,Elk Grove Unified,811,22.5,63.9 %,78.7,1522
1179,Aspire University Charter,K-5,Sylvan Union Elementary,267,24.2,30.7 %,78.7,1404
1180,French Valley Elementary,K-5,Temecula Valley Unified,918,24.8,25.4 %,78.7,1266
1181,Ararat Charter,K-5,Los Angeles Unified,340,26.1,79.4 %,78.7,1923
1182,Cambridge Heights Elementary,K-5,San Juan Unified,379,31.5,33.3 %,78.7,1100
1183,Aspire River Oaks Charter,K-5,Lodi Unified,391,20.5,56.3 %,78.7,1187
1184,Casita Center for Science/Math/Technology,K-5,Vista Unified,587,26.6,54.5 %,78.7,1300
1185,Tierra Pacifica Charter,K-8,Live Oak Elementary,153,21.8,13.1 %,78.6,1199
1186,Del Mar Elementary,K-5,San Luis Coastal Unified,398,22.1,56.5 %,78.6,1810
1187,Daniel N. Buchanan Elementary,K-5,Murrieta Valley Unified,961,25.9,43.1 %,78.5,1553
1188,James R. Cowan Fundamental Elementary,K-6,San Juan Unified,505,29.7,35.1 %,78.5,895
1189,Frontier Elementary,K-5,Pioneer Union Elementary,439,23.1,38.0 %,78.4,1178
1190,Washington Elementary,K-5,Berkeley Unified,466,20.2,30.3 %,78.4,755
1191,Castro Valley Elementary,K-5,Castro Valley Unified,469,26,41.2 %,78.4,1318
1192,Capri Elementary,K-5,Campbell Union,691,25.5,37.1 %,78.4,1046
1193,Luigi Aprea Elementary,K-5,Gilroy Unified,711,25.3,22.4 %,78.3,1279
1194,Etiwanda Colony Elementary,K-5,Etiwanda Elementary,870,25.5,24.7 %,78.3,1149
1195,Vena Avenue Elementary,K-5,Los Angeles Unified,560,23.3,80.0 %,78.3,1143
1196,Pleasant Hill Elementary,K-5,Mt. Diablo Unified,692,24.7,19.9 %,78.2,731
1197,Glenmoor Elementary,K-6,Fremont Unified,659,25.3,37.6 %,78.2,858
1198,Rancho Elementary,K-5,Novato Unified,440,23.1,23.9 %,78.2,1028
1199,Healdsburg Charter,K-5,Healdsburg Unified,284,23.6,34.5 %,78.2,1274
1200,Walt Disney Elementary,K-5,Burbank Unified,368,24.5,44.0 %,78.2,1507
1201,John Muir Elementary,K-5,Berkeley Unified,292,20.8,44.9 %,78.2,2079
1202,Mildred B. Janson Elementary,K-6,Rosemead Elementary,601,27.3,82.2 %,78.1,1166
1203,Star View Elementary,K-5,Ocean View,571,25.9,46.4 %,78.1,1321
1204,Sanger Academy Charter,K-8,Sanger Unified,600,22.2,71.3 %,78,963
1205,Mary Farmar Elementary,K-5,Benicia Unified,476,26.4,25.6 %,78,1042
1206,Isla Vista Elementary,K-6,Goleta Union Elementary,458,19,52.8 %,78,1369
1207,Verdugo Woodlands Elementary,K-6,Glendale Unified,814,24.6,24.6 %,78,863
1208,Vinewood Elementary,K-6,Lodi Unified,546,23.7,40.8 %,78,1576
1209,Theodore Judah Elementary,K-6,Sacramento City Unified,599,24.9,39.4 %,78,1293
1210,Arroyo Verde Elementary,K-5,Redlands Unified,606,25.2,47.9 %,77.9,965
1211,Schallenberger Elementary,K-5,San Jose Unified,522,26.1,26.1 %,77.8,1275
1212,Gerald R. Ford Elementary,K-5,Desert Sands Unified,804,25.9,40.4 %,77.8,1224
1213,Valley View Elementary,K-6,Duarte Unified,390,24.3,54.4 %,77.8,1301
1214,Harada Elementary,K-6,Corona-Norco Unified,"1,265",27.5,36.1 %,77.7,1217
1215,Bryn Mawr Elementary,K-5,Redlands Unified,658,27.4,58.2 %,77.7,1349
1216,L. R. Green Elementary,K-5,Escondido Union,708,22.1,34.0 %,77.7,1709
1217,Vieja Valley Elementary,K-6,Hope Elementary,339,24.2,31.9 %,77.7,940
1218,Berkeley Arts Magnet at Whittier,K-5,Berkeley Unified,448,21.3,34.2 %,77.7,1024
1219,Magnolia Elementary,K-6,Upland Unified,610,23.4,23.0 %,77.7,822
1220,Charter Montessori Blue Oak Campus,K-5,Buckeye Union Elementary,283,25.7,18.4 %,77.7,1344
1221,Leonardo Da Vinci,K-8,Sacramento City Unified,835,26,37.1 %,77.6,1743
1222,Shell Beach Elementary,K-6,Lucia Mar Unified,423,24.8,25.8 %,77.6,1144
1223,Laneview Elementary,K-5,Berryessa Union Elementary,385,21.3,37.9 %,77.6,1216
1224,Cottonwood Creek Charter,K-8,Cottonwood Union Elementary,208,23.1,34.1 %,77.5,1761
1225,Fair Oaks Ranch Community,K-6,Sulphur Springs Union,953,26.4,39.8 %,77.5,991
1226,Encinal Elementary,K-8,Live Oak Unified,112,22.4,65.2 %,77.4,2095
1227,Dewey Avenue Elementary,K-6,Garvey Elementary,388,24.2,83.5 %,77.4,1798
1228,Santa Cruz Gardens Elementary,K-5,Soquel Union Elementary,320,24.6,36.9 %,77.4,1334
1229,McPherson Magnet,K-8,Orange Unified,861,26.9,19.4 %,77.4,1180
1230,Citizens of the World 2,K-8,Los Angeles Unified,504,19.3,50.0 %,77.4,1533
1231,Stagg Street Elementary,K-5,Los Angeles Unified,442,24.5,76.9 %,77.4,1982
1232,Ocean Charter,K-8,Los Angeles Unified,458,25.4,18.6 %,77.3,1145
1233,Manzanita Elementary,K-5,Redding Elementary,585,24.3,41.4 %,77.3,1357
1234,Bagby Elementary,K-5,Cambrian,644,23.8,14.1 %,77.3,1134
1235,Hidden Valley Elementary,K-6,Santa Rosa Elementary,654,20.4,21.3 %,77.3,1135
1236,Gratton Charter,K-8,Gratton Elementary,115,28.7,7.8 %,77.2,1248
1237,Oak Valley Elementary,K-5,Buellton Union Elementary,393,20.6,31.8 %,77.2,888
1238,Pinetree Community Elementary,K-6,Sulphur Springs Union,548,26,34.9 %,77.2,1358
1239,Pat Butler Elementary,K-5,Paso Robles Joint Unified,436,27.2,39.0 %,77.2,1538
1240,Junction Elementary,K-8,Junction Elementary,273,22.7,34.8 %,77.1,1661
1241,Mesa Elementary,K-5,Covina-Valley Unified,637,23.5,44.7 %,77.1,933
1242,River Islands Technology Academy,K-7,Banta Elementary,536,24.3,34.3 %,77.1,1307
1243,Cielo Vista Charter,K-8,Palm Springs Unified,818,22.7,73.7 %,77,1474
1244,Madison Elementary,K-5,San Leandro Unified,428,23.7,49.1 %,77,1385
1245,Ceres Elementary,K-5,East Whittier City Elementary,372,26.5,69.1 %,77,1550
1246,Mariposa School of Global Education,K-8,Las Virgenes Unified,369,24.6,4.9 %,77,1265
1247,Pershing Elementary,K-6,San Juan Unified,537,29.8,35.4 %,76.9,1197
1248,Shannon Ranch Elementary,K-6,Visalia Unified,881,26.6,41.2 %,76.9,1246
1249,Sunnyside Elementary,K-5,San Francisco Unified,385,20.2,33.0 %,76.9,1499
1250,El Portal Elementary,K-6,Lowell Joint,510,26.8,50.8 %,76.8,1121
1251,Madrona Elementary,K-5,Conejo Valley Unified,464,20.1,28.7 %,76.8,1025
1252,Rancho Canada Elementary,K-6,Saddleback Valley Unified,714,27.4,23.8 %,76.8,1130
1253,California Montessori Project-Shingle Springs Campus,K-8,Buckeye Union Elementary,438,19,11.4 %,76.8,900
1254,Mark Twain Elementary,K-6,Riverside Unified,"1,073",25.5,39.1 %,76.8,1226
1255,Mt. George International,K-5,Napa Valley Unified,253,25.3,17.0 %,76.8,1697
1256,Tiffany (Burton C.) Elementary,K-6,Chula Vista Elementary,561,24.3,37.1 %,76.8,1363
1257,Freshwater Elementary,K-6,Freshwater Elementary,271,22.5,34.0 %,76.8,961
1258,Juanamaria Elementary,K-5,Ventura Unified,440,23.1,37.3 %,76.8,1061
1259,Lake County International Charter,K-8,Middletown Unified,75,18.7,84.0 %,76.7,2060
1260,James A. McKee Elementary,K-6,Elk Grove Unified,539,17.9,61.4 %,76.7,1539
1261,Santa Margarita Elementary,K-8,Oceanside Unified,670,20.9,43.3 %,76.7,1497
1262,Toluca Lake Elementary,K-5,Los Angeles Unified,468,21.2,81.4 %,76.7,1367
1263,Berkshire Elementary,K-6,Panama-Buena Vista Union,"1,044",28.2,78.4 %,76.7,1937
1264,Playa Vista Elementary,K-6,Los Angeles Unified,541,27,18.7 %,76.6,996
1265,Patterson Elementary,K-6,Fremont Unified,650,27,28.8 %,76.6,1429
1266,Alvarado Elementary,K-5,Long Beach Unified,435,24.1,77.9 %,76.6,2108
1267,Alternative Cooperative Education Charter,K-6,Vacaville Unified,124,24.8,18.6 %,76.5,1323
1268,Highland Ranch Elementary,K-5,Poway Unified,716,26.5,13.8 %,76.5,1005
1269,Feinstein (Dianne) Elementary,K-5,San Francisco Unified,512,22.2,27.0 %,76.5,942
1270,Loomis Elementary,K-8,Loomis Union Elementary,483,24.1,29.0 %,76.5,1148
1271,Canyon Oaks Elementary,K-5,Napa Valley Unified,700,26.9,34.4 %,76.5,1083
1272,Scandia Elementary,K-6,Travis Unified,572,26,37.2 %,76.5,1446
1273,Frederiksen Elementary,K-5,Dublin Unified,769,24,17.6 %,76.5,810
1274,Lashon Academy,K-6,Los Angeles Unified,183,22.8,76.0 %,76.5,
1275,Jim Thorpe Fundamental,K-5,Santa Ana Unified,"1,025",28.4,83.2 %,76.5,1756
1276,Aspen Elementary,K-5,Conejo Valley Unified,369,20.5,17.9 %,76.5,1007
1277,Joseph M. Simas,K-6,Hanford Elementary,501,25,52.7 %,76.4,1948
1278,Altamont Creek Elementary,K-5,Livermore Valley Joint Unified,545,22.7,15.2 %,76.3,1337
1279,Cleveland Elementary,K-5,Oakland Unified,408,24,58.3 %,76.3,1164
1280,Fairmont Elementary,K-8,Sanger Unified,487,21.1,56.7 %,76.3,1672
1281,Rosa Parks Elementary,K-6,Corona-Norco Unified,"1,677",29.4,27.1 %,76.2,1459
1282,San Pasqual Union Elementary,K-8,San Pasqual Union Elementary,558,20.6,17.4 %,76.2,1111
1283,Bridgeway Island Elementary,K-8,Washington Unified,"1,009",22.4,36.3 %,76.2,1285
1284,Wilbur Charter For Enriched Academics,K-5,Los Angeles Unified,667,25.6,14.8 %,76.2,1218
1285,Linda Vista Elementary,K-6,Orange Unified,477,26.5,17.6 %,76.2,1092
1286,McCoppin (Frank) Elementary,K-5,San Francisco Unified,218,27.2,68.8 %,76.2,830
1287,Maple Elementary,K-5,Conejo Valley Unified,309,18.1,33.7 %,76.1,1118
1288,Solvang Elementary,K-8,Solvang Elementary,570,25.9,56.3 %,76.1,1920
1289,La Fetra Elementary,K-5,Glendora Unified,747,24.9,29.9 %,76.1,1383
1290,Benjamin Franklin Elementary,K-6,Riverside Unified,825,26.6,29.0 %,76.1,1211
1291,Eastwood Elementary,K-5,Norwalk-La Mirada Unified,476,29.7,35.7 %,76.1,1387
1292,Chapman Hills Elementary,K-6,Orange Unified,483,26.8,20.3 %,76.1,893
1293,Cabrillo Elementary,K-8,Pacifica,562,24.4,11.2 %,76,1041
1294,Parkview,K-12,Placentia-Yorba Linda Unified,221,36.8,7.7 %,76,1077
1295,Susan B. Anthony Elementary,K-6,Garden Grove Unified,464,27.2,68.8 %,76,1578
1296,BRIDGES Charter,K-8,Ventura County Office Of Education,407,23.9,17.4 %,75.9,944
1297,Sherman Oaks Center for Enriched Studies,4-12,Los Angeles Unified,"2,089",31.6,53.1 %,75.9,1552
1298,Albert A. Michelson Elementary,K-5,Vallecito Union,228,19,40.4 %,75.9,1426
1299,Loma Vista Elementary,K-5,Ventura Unified,366,20.3,29.5 %,75.9,877
1300,Cadman Elementary,K-5,San Diego Unified,182,22.7,60.4 %,75.8,1236
1301,Round Valley Elementary,K-8,Round Valley Joint Elementary,134,14.8,27.6 %,75.8,1634
1302,McKinley Elementary,K-5,Santa Monica-Malibu Unified,512,21.3,37.3 %,75.8,1347
1303,Ron Nunn Elementary,K-5,Brentwood Union Elementary,532,24.1,16.9 %,75.8,1244
1304,McKinley Elementary,K-5,San Gabriel Unified,579,24.1,69.8 %,75.7,1408
1305,Knob Hill Elementary,K-5,San Marcos Unified,873,25.6,39.1 %,75.7,979
1306,Ynez Elementary,K-8,Alhambra Unified,905,25.1,76.6 %,75.7,1384
1307,George White Elementary,K-5,Capistrano Unified,616,30.8,18.3 %,75.7,791
1308,Pioneer Elementary,K-5,Brentwood Union Elementary,878,26.6,22.8 %,75.7,1585
1309,Glen H. Dysinger Senior Elementary,K-6,Centralia Elementary,522,26.1,56.9 %,75.7,1388
1310,Sherman Oaks Elementary Charter,K-5,Los Angeles Unified,865,24.7,24.5 %,75.6,1057
1311,Royal Oaks Elementary,K-6,Duarte Unified,500,25,54.8 %,75.6,1440
1312,Allen (Ella B.) Elementary,K-6,Chula Vista Elementary,401,23.5,38.9 %,75.6,1212
1313,River Oaks Elementary,K-6,Galt Joint Union Elementary,576,19.2,54.3 %,75.5,2104
1314,Covillaud Elementary,K-5,Marysville Joint Unified,518,25.9,78.4 %,75.5,2251
1315,R. Paul Krey Elementary,K-5,Brentwood Union Elementary,871,25.6,13.8 %,75.5,1081
1316,Valencia Elementary,K-6,Pajaro Valley Unified,551,25,32.3 %,75.4,1306
1317,Discovery Elementary,K-6,Fruitvale Elementary,883,29.4,38.4 %,75.4,1174
1318,Antelope Creek Elementary,K-6,Rocklin Unified,524,22.7,41.2 %,75.4,1468
1319,Branch Elementary,K-6,Lucia Mar Unified,335,23.9,20.9 %,75.4,1153
1320,Walt Disney,K-6,Magnolia Elementary,671,27.9,77.9 %,75.4,1458
1321,Kings Mountain Elementary,K-5,Cabrillo Unified,65,21.6,4.6 %,75.4,
1322,Gardner Street Elementary,K-6,Los Angeles Unified,440,24.4,57.1 %,75.3,1741
1323,Junipero Serra Elementary,K-5,Ventura Unified,604,23.2,40.4 %,75.3,1415
1324,Washington Elementary,K-5,San Gabriel Unified,479,26.6,49.1 %,75.3,1530
1325,Orangevale Open K-8,K-8,San Juan Unified,679,27.1,21.2 %,75.3,977
1326,Linwood Elementary,K-6,Visalia Unified,656,27.3,55.8 %,75.3,1479
1327,Buckeye Elementary,K-5,Buckeye Union Elementary,400,25,44.5 %,75.3,1828
1328,Corona Ranch Elementary,K-6,Corona-Norco Unified,"1,061",27.9,52.1 %,75.2,1034
1329,Tierra Linda Elementary,K-5,Pleasant Valley,671,23.9,18.6 %,75.2,1069
1330,Del Rio Elementary,K-6,Rosedale Union Elementary,413,21.7,28.1 %,75.2,1601
1331,Highland Elementary,K-6,Corona-Norco Unified,607,27.5,34.1 %,75.2,1348
1332,Loma Vista Elementary,K-5,Brentwood Union Elementary,670,25.7,15.5 %,75.2,1239
1333,Longfellow K-8,K-8,San Diego Unified,830,24.4,43.6 %,75.2,1557
1334,Northlake Hills Elementary,K-7,Castaic Union,607,27.5,37.4 %,75.2,1636
1335,Spark Charter,K-8,Santa Clara County Office Of Education,144,20.5,11.1 %,75.1,
1336,Fieldbrook Elementary,K-8,Fieldbrook Elementary,147,18.3,34.0 %,75,1245
1337,Cowan Avenue Elementary,K-6,Los Angeles Unified,269,19.2,58.7 %,74.9,2084
1338,Farnham Charter,K-5,Cambrian,552,25,14.1 %,74.9,1277
1339,Arroyo West Elementary,K-5,Moorpark Unified,458,21.8,42.6 %,74.9,1395
1340,Weston Elementary,K-8,Ripon Unified,416,24.4,32.9 %,74.9,1686
1341,Gilbert Elementary,K-6,Garden Grove Unified,529,25.1,63.9 %,74.9,1422
1342,Golden Hill Elementary,K-6,Fullerton Elementary,760,29.2,29.0 %,74.8,1051
1343,Fallsvale School,K-8,Bear Valley Unified,66,22,56.1 %,74.8,
1344,Walnut Elementary Education Center,K-6,Turlock Unified,910,25.2,25.1 %,74.8,1624
1345,McNear Elementary,K-6,Petaluma City Elementary,425,23.6,23.8 %,74.8,1237
1346,Glenview Elementary,K-5,Oakland Unified,452,22.6,36.1 %,74.8,2176
1347,Agnes M. Baptist Elementary,K-6,Stanislaus Union Elementary,614,26.6,59.1 %,74.8,1609
1348,Cahuenga Elementary,K-5,Los Angeles Unified,537,22.3,79.9 %,74.7,1801
1349,San Lorenzo Valley Elementary,K-5,San Lorenzo Valley Unified,611,22.6,15.7 %,74.7,1505
